id,name,category,summary,best_for,pricing_label,free_plan_signal,verification_status,last_checked,profile_url,source_url,monetized
adcreative-ai,AdCreative.ai,Marketing & Creative,"An AI platform for generating and iterating advertising creatives, copy and related campaign assets.","Performance marketers, ecommerce teams and agencies producing many ad variations.","Creative credits, integrations and pricing can change; verify the current plan before subscribing.",false,reviewed,2026-09-14,https://artificial.one/partner-offers/adcreative-ai-ad-design.html,https://www.adcreative.ai/,true
alison-us-ca,Alison US CA,Online Learning,"Founded in 2007, Alison is the world’s largest free online empowerment platform for education and skills training. We offer over 6000 CPD accredited courses and a range of impactful career development tools.",Learners and teams comparing flexible online courses and career-development resources.,"Pricing, eligibility and plan limits can change; verify current details with Alison US CA.",false,reviewed,2026-09-22,https://artificial.one/partner-offers/alison-us-ca-software.html,https://alison.com/,true
beautiful-ai,Beautiful.ai,Presentations,Presentation software with AI-assisted drafting and adaptive slide layouts.,Teams and professionals producing polished presentations on a recurring basis.,Features and plan limits can change; verify the current presentation and collaboration options.,false,reviewed,2026-09-14,https://artificial.one/partner-offers/beautiful-ai-presentations.html,https://www.beautiful.ai/,true
brkox,brkox,Collectibles & Display,"BRKOX creates premium display frames and cases for LEGO® collectors, helping enthusiasts turn their builds into stunning home displays.",Collectors looking for purpose-built display frames and protective cases.,"Pricing, eligibility and plan limits can change; verify current details with brkox.",false,reviewed,2026-09-22,https://artificial.one/partner-offers/brkox-software.html,https://brkox.com/,true
carepatron,Carepatron,Healthcare Software,"Practice-management software for scheduling, client records, documentation, billing and telehealth workflows.",Independent healthcare and wellness practitioners evaluating an integrated practice workspace.,"Clinical, billing and regional capabilities can change; verify current compliance and plan coverage.",false,reviewed,2026-09-14,https://artificial.one/partner-offers/carepatron-practice-management.html,https://www.carepatron.com/,true
descript,Descript,Audio & Video,"An AI-assisted workspace for editing video and audio, transcribing recordings, capturing screens and producing reusable clips.","Creators, podcasters, educators and marketing teams that prefer editing recorded media through a text-led workflow.",Affiliate eligibility applies to qualifying new subscriptions; verify current plans and features on Descript.,false,reviewed,2026-09-14,https://artificial.one/partner-offers/descript-ai-video-editing.html,https://www.descript.com/,true
easyclaw,EasyClaw,AI Productivity,An AI productivity platform for organizing and accelerating everyday knowledge-work tasks and workflows.,Professionals comparing AI-assisted tools for everyday workflows.,"Pricing, eligibility and plan limits can change; verify current details with EasyClaw.",false,reviewed,2026-09-22,https://artificial.one/partner-offers/easyclaw-software.html,https://easyclaw.com/,true
elevenlabs,ElevenLabs,Audio & Voice,"An AI audio platform for text-to-speech, voice generation, dubbing and related spoken-audio workflows.","Creators, developers and media teams producing narration, localized audio or voice-enabled products.","Voice, usage and commercial-rights limits can change; verify the current plan before publishing output.",false,reviewed,2026-09-14,https://artificial.one/partner-offers/elevenlabs-ai-voice.html,https://elevenlabs.io/,true
esign-sign-pdf-docx-documents-ios-only,eSign: Sign PDF DOCX Documents (iOS only),Document Signing,"An iOS document-signing app for preparing, signing and managing PDF and DOCX files on iPhone or iPad.",iPhone and iPad users who need to sign and manage PDF or DOCX documents.,"Pricing, eligibility and plan limits can change; verify current details with eSign: Sign PDF DOCX Documents (iOS only).",false,reviewed,2026-09-22,https://artificial.one/partner-offers/esign-sign-pdf-docx-documents-ios-only-software.html,https://apps.apple.com/us/app/esign-sign-pdf-docx-documents/id6755193759,true
foxit,Foxit,Documents & PDF,"PDF software for viewing, editing, converting, organizing and signing documents.",Individuals and organizations that need a full PDF workflow beyond basic viewing.,"Products, licensing and AI features can change; verify the current edition before purchase.",false,reviewed,2026-09-14,https://artificial.one/partner-offers/foxit-pdf-software.html,https://www.foxit.com/,true
hubstaff,Hubstaff,Productivity & Business,"Time-tracking and workforce-management software with reporting, scheduling and productivity features.","Remote teams, agencies and field-service businesses that need time and activity records.","Seat minimums, monitoring features and pricing can change; verify the current plan and employee-consent requirements.",false,reviewed,2026-09-14,https://artificial.one/partner-offers/hubstaff-time-tracking.html,https://hubstaff.com/,true
kartra,Kartra,Marketing Automation,"An online-business platform combining funnels, email marketing, pages, memberships and related sales tools.","Course creators, consultants and small online businesses seeking an integrated marketing stack.","Product bundles, usage limits and pricing can change; verify the current Kartra offer before subscribing.",false,reviewed,2026-09-14,https://artificial.one/partner-offers/kartra-marketing-platform.html,https://kartra.com/,true
kit,Kit,Email Marketing,"An email marketing platform for creators, with forms, landing pages, broadcasts, automations and commerce tools.","Newsletter writers, podcasters, course creators and independent businesses growing an owned audience.",Plans scale with subscriber count; verify current free and paid plan limits.,true,reviewed,2026-09-14,https://artificial.one/partner-offers/kit-creator-email-marketing.html,https://kit.com/,true
learnworlds,LearnWorlds,Online Learning,"A platform for creating, selling and managing online courses and branded learning experiences.","Educators, coaches and businesses launching customer or employee learning programs.","Commerce, learner and feature limits can change; verify the current plan matrix.",false,reviewed,2026-09-14,https://artificial.one/partner-offers/learnworlds-course-platform.html,https://www.learnworlds.com/,true
lensmor,lensmor,Trade Show Technology,A visual-production tool for exhibitors and B2B teams preparing branded assets for trade shows.,Exhibitors and B2B teams preparing visual assets for trade shows.,"Pricing, eligibility and plan limits can change; verify current details with lensmor.",false,reviewed,2026-09-22,https://artificial.one/partner-offers/lensmor-software.html,https://www.lensmor.com/,true
mrpeasy,MRPeasy,Manufacturing,"Cloud manufacturing software covering production planning, inventory, purchasing and related ERP workflows.",Small and midsize manufacturers moving planning and inventory out of spreadsheets.,Modules and pricing can change; verify fit against your production and accounting workflow.,false,reviewed,2026-09-14,https://artificial.one/partner-offers/mrpeasy-manufacturing-erp.html,https://www.mrpeasy.com/,true
omniseo,OmniSEO,SEO & Visibility,SEO software for analyzing and improving a site's search visibility and content opportunities.,Site owners and marketing teams organizing ongoing SEO improvement work.,"Features, data sources and pricing can change; verify current plan coverage.",false,reviewed,2026-09-14,https://artificial.one/partner-offers/omniseo-search-optimization.html,https://omniseo.com/,true
pinecone,Pinecone,Developer Infrastructure,"A managed vector database for semantic search, retrieval-augmented generation and AI application memory.","Developers building production AI search, recommendation or retrieval systems.","Usage, regions and pricing can change; estimate costs against your workload before production use.",false,reviewed,2026-09-14,https://artificial.one/partner-offers/pinecone-vector-database.html,https://www.pinecone.io/,true
quicksigner,QuickSigner,Documents & PDF,"Electronic-signature software for preparing, sending and signing documents online.",Freelancers and small teams that need a straightforward digital document-signing workflow.,"Envelope, signer and feature limits can change; verify current plan details.",false,reviewed,2026-09-14,https://artificial.one/partner-offers/quicksigner-electronic-signatures.html,https://www.quicksigner.com/,true
rank-prompt,Rank Prompt,SEO & Visibility,A visibility platform for tracking how brands appear in answers from AI search and assistant products.,Marketing and SEO teams measuring brand visibility across AI-generated answers.,"Coverage, credits and pricing can change; verify the engines and reporting included in each plan.",false,reviewed,2026-09-14,https://artificial.one/partner-offers/rank-prompt-ai-visibility.html,https://help.rankprompt.com/,true
rewarx-studio-ai,Rewarx Studio AI,AI Product Photography,An AI product-photography platform for creating ecommerce visuals without arranging a traditional studio shoot.,E-commerce teams that need product imagery without a traditional photo shoot.,"Pricing, eligibility and plan limits can change; verify current details with Rewarx Studio AI.",false,reviewed,2026-09-22,https://artificial.one/partner-offers/rewarx-studio-ai-software.html,https://www.rewarx.com/,true
seamless-ai,Seamless.AI,Sales Intelligence,A B2B sales intelligence platform for finding business contacts and supporting prospecting workflows.,Sales and business-development teams building and enriching prospect lists.,"Data access, credits and pricing can change; validate coverage and compliance for your market.",false,reviewed,2026-09-14,https://artificial.one/partner-offers/seamless-ai-sales-intelligence.html,https://seamless.ai/,true
trainual,Trainual,Productivity & Business,"A platform for documenting processes, onboarding employees and delivering role-based team training.","Growing teams that need repeatable onboarding, policies and operating procedures.",Plans and limits can change; verify current options before subscribing.,false,reviewed,2026-09-14,https://artificial.one/partner-offers/trainual-team-training.html,https://trainual.com/,true
turbotic,Turbotic,Automation,An enterprise automation platform for managing and improving automation initiatives across an organization.,Larger organizations coordinating automation programs and operational transformation.,Enterprise availability and pricing can change; verify current terms with Turbotic.,false,reviewed,2026-09-14,https://artificial.one/partner-offers/turbotic-enterprise-automation.html,https://turbotic.com/,true
unbounce,Unbounce,Conversion Optimization,"A landing-page and conversion platform for building, testing and optimizing campaign pages.",Marketing teams and agencies that run paid campaigns and need dedicated landing-page workflows.,"Traffic limits, features and pricing can change; verify the current plan for your campaign volume.",false,reviewed,2026-09-14,https://artificial.one/partner-offers/unbounce-landing-pages.html,https://unbounce.com/,true
volza,Volza,Research & Data,"A global trade intelligence platform for researching shipment data, buyers, suppliers, products and markets.","Import-export businesses, sourcing teams, market researchers and B2B sales teams validating international demand.",Plans and pricing can change; verify the current options on Volza before subscribing.,false,reviewed,2026-09-14,https://artificial.one/partner-offers/volza-trade-intelligence.html,https://www.volza.com/,true
wegic,Wegic,Website Building,"A conversational AI website builder for creating, editing and publishing websites without coding.","Freelancers, creators and small businesses that want to launch a site through an AI-guided workflow.","Free and paid capabilities can change; verify hosting, export and domain options before committing.",true,reviewed,2026-09-14,https://artificial.one/partner-offers/wegic-ai-website-builder.html,https://wegic.ai/,true
whatconverts,WhatConverts,Marketing Analytics,"Lead-tracking and marketing-attribution software that connects calls, forms and other leads with their traffic sources.",Agencies and performance marketers measuring which campaigns generate qualified leads.,"Channels, usage and pricing can change; verify the current plan for your lead volume.",false,reviewed,2026-09-14,https://artificial.one/partner-offers/whatconverts-lead-attribution.html,https://www.whatconverts.com/,true
